Plot,Species,DBH 1 (cm),Crown: Condition,Total Height (m),
1,European black elderberry (Sambucus nigra),8.3,92.5,4.5,
1,European hackberry (Celtis australis),70.28333333,84.08333333,21,
1,Field elm (Ulmus minor),11.5,100,7,
1,Sweet cherry (Prunus avium),8.25,100,8,
2,Black locust (Robinia pseudoacacia),12.49,86.5,9.75,
2,Common plum (Prunus domestica),6.4,87.5,5,
2,European hackberry (Celtis australis),11.14285714,78.21428571,8.142857143,
2,Field elm (Ulmus minor),31.925,60.625,12,
2,Sweet cherry (Prunus avium),7.3,100,7,
2,Tree of heaven (Ailanthus altissima),8.7,88.33333333,7,
4,Black locust (Robinia pseudoacacia),21.32,79.725,10.95,
4,European hackberry (Celtis australis),8.4,90.8,7.4,
4,Oneseed hawthorn (Crataegus monogyna),12.7,87.5,5,
5,Black poplar (Populus nigra),49,98.125,8.5,
5,European hackberry (Celtis australis),27,64.16666667,4.666666667,
5,Field elm (Ulmus minor),52,87.5,7,
6,Black locust (Robinia pseudoacacia),9.033333333,100,7,
6,Clammy locust (Robinia viscosa),21.33333333,93.33333333,10.66666667,
6,European hackberry (Celtis australis),12.7,67.5,9,
6,Field elm (Ulmus minor),14.625,81.25,10,
6,Littleleaf linden (Tilia cordata),9.2,92.5,5,
6,Oneseed hawthorn (Crataegus monogyna),18.1,100,5,
6,White mulberry (Morus alba),9.6,77.5,8,ÊýÁ¿
7,Black locust (Robinia pseudoacacia),38.03636364,87.45454545,15.72727273,11
7,English walnut (Juglans regia),9.6,100,8,1
7,European black elderberry (Sambucus nigra),10,59.5,4.12,5
7,European hackberry (Celtis australis),12.8,91.70454545,9.136363636,22
7,Oneseed hawthorn (Crataegus monogyna),6.4,82.5,2.5,1
7,hackberry spp (Celtis),11.45,96.25,7.75,2
8,Black locust (Robinia pseudoacacia),30.8,33.33333333,13.33333333,3
8,Boxelder (Acer negundo),20.7,100,9,1
8,European black elderberry (Sambucus nigra),6.1875,84.0625,4.25,8
8,European hackberry (Celtis australis),7.45,100,7.5,2
8,Hedge maple (Acer campestre),25.8,100,15,1
8,White mulberry (Morus alba),8.6,87.5,9,1
8,sycamore spp (Platanus),66.8,100,22,1
9,Black locust (Robinia pseudoacacia),22.66666667,77.875,11.41666667,
9,European black elderberry (Sambucus nigra),10.775,90.125,5.416666667,
9,European hackberry (Celtis australis),12.11666667,80.41666667,8.25,
9,Field elm (Ulmus minor),23.85,92.5,11,
10,Black locust (Robinia pseudoacacia),17.5,100,11.33333333,
10,Black poplar (Populus nigra),18.66,94.3,10.6,
10,European hackberry (Celtis australis),6.4,100,6,
10,Littleleaf linden (Tilia cordata),38.5,66.66666667,14.66666667,
10,Oregon ash (Fraxinus latifolia),11.5,100,9,
11,Black poplar (Populus nigra),59.93333333,85.83333333,17.33333333,
11,European hackberry (Celtis australis),7.944444444,79.72222222,6.333333333,
11,Hedge maple (Acer campestre),9.2,92.5,7,
11,Sweet cherry (Prunus avium),11.87777778,91.38888889,7.111111111,
12,Black locust (Robinia pseudoacacia),38.73333333,77.5,11.33333333,
13,Field elm (Ulmus minor),15.9,100,9,
13,Tree of heaven (Ailanthus altissima),17.8,100,8,
13,White mulberry (Morus alba),11.5,100,7,
14,Black locust (Robinia pseudoacacia),27.43888889,75.66666667,16.83333333,
14,European hackberry (Celtis australis),13.85384615,89.57692308,7.423076923,
15,Black locust (Robinia pseudoacacia),23.75,90.625,8.125,
15,Black poplar (Populus nigra),56.4,91,13.3,
15,European hackberry (Celtis australis),15,77.5,4,
15,Field elm (Ulmus minor),195,77.5,16,
15,Robinia spp (Robinia),21,91.875,10,
15,White mulberry (Morus alba),100,52.5,7.5,
16,Black locust (Robinia pseudoacacia),15.6625,95,8.25,
16,Black poplar (Populus nigra),17.1,91.91666667,8.75,
